Mon,date,year,r1,r2
6,10,2015,1,0
6,09,2015,0,8
6,08,2015,6,6
6,07,2015,1,3
6,06,2015,5,2
6,05,2015,6,9
6,04,2015,3,7
6,03,2015,0,4
6,02,2015,6,9
6,01,2015,3,6
5,31,2015,1,3
5,30,2015,4,1
5,29,2015,7,1
5,28,2015,7,7
5,27,2015,6,8
5,26,2015,4,1
5,25,2015,1,3
5,24,2015,1,4
5,23,2015,4,7
5,22,2015,7,9
5,21,2015,9,9
5,20,2015,7,5
5,19,2015,9,2
5,18,2015,2,2
5,17,2015,0,1
5,16,2015,6,3
5,15,2015,0,2
5,14,2015,5,9
5,13,2015,0,5
5,12,2015,0,0
5,11,2015,0,0
5,10,2015,6,4
5,09,2015,0,8
5,08,2015,8,9
5,07,2015,9,8
5,06,2015,3,5
5,05,2015,9,3
5,04,2015,1,8
5,03,2015,1,6
5,02,2015,0,9
5,01,2015,9,3
4,30,2015,7,8
4,29,2015,4,6
4,28,2015,0,1
4,27,2015,3,8
4,26,2015,4,1
4,25,2015,9,4
4,24,2015,3,7
4,23,2015,0,4
4,22,2015,8,3
4,21,2015,1,3
4,20,2015,2,8
4,19,2015,9,5
4,18,2015,6,9
4,17,2015,8,1
4,16,2015,5,8
4,15,2015,8,9
4,14,2015,6,5
4,13,2015,3,8
4,12,2015,5,1
4,11,2015,6,4
4,10,2015,5,7
4,09,2015,2,1
4,08,2015,4,1
4,07,2015,9,5
4,06,2015,0,2
4,05,2015,6,6
4,04,2015,3,5
4,03,2015,2,2
4,02,2015,1,8
4,01,2015,4,1
3,31,2015,3,7
3,30,2015,0,4
3,29,2015,9,1
3,28,2015,1,5
3,27,2015,4,0
3,26,2015,2,6
3,25,2015,9,3
3,24,2015,3,3
3,23,2015,4,6
3,22,2015,3,8
3,21,2015,2,3
3,20,2015,1,6
3,19,2015,4,1
3,18,2015,9,9
3,17,2015,5,7
3,16,2015,8,2
3,15,2015,5,4
3,14,2015,0,9
3,13,2015,6,2
3,12,2015,5,1
3,11,2015,3,7
3,10,2015,7,0
3,09,2015,1,1
3,08,2015,2,9
3,07,2015,0,0
3,06,2015,6,5
3,05,2015,0,7
3,04,2015,0,1
3,03,2015,9,1
3,02,2015,8,7
3,01,2015,4,6
2,28,2015,0,6
2,27,2015,5,6
2,26,2015,4,9
2,25,2015,3,0
2,24,2015,3,4
2,23,2015,0,9
2,22,2015,8,8
2,21,2015,1,6
2,20,2015,2,7
2,19,2015,5,8
2,18,2015,6,6
2,17,2015,0,6
2,16,2015,0,6
2,15,2015,6,1
2,14,2015,3,3
2,13,2015,1,5
2,12,2015,8,9
2,11,2015,2,7
2,10,2015,9,1
